Arrival_Date,State,District,Market,Commodity,Modal_Price
2023-07-31,Karnataka,Dharwad,Annigeri,Maize,1700
2024-05-31,Karnataka,Dharwad,Annigeri,Maize,2400
2023-06-03,Karnataka,Hassan,Arakalgud,Maize,2000
2023-06-10,Karnataka,Hassan,Arakalgud,Maize,2000
2023-07-01,Karnataka,Hassan,Arakalgud,Maize,2000
2023-07-11,Karnataka,Hassan,Arakalgud,Maize,2000
2024-06-06,Karnataka,Hassan,Arasikere,Maize,2300
2024-09-03,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-04,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-05,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-06,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-09,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-11,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-12,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-13,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-17,Karnataka,Hassan,Arasikere,Maize,2300
2024-09-18,Karnataka,Hassan,Arasikere,Maize,2300
2024-09-19,Karnataka,Hassan,Arasikere,Maize,2300
2024-09-20,Karnataka,Hassan,Arasikere,Maize,2400
2024-09-21,Karnataka,Hassan,Arasikere,Maize,2200
2024-09-23,Karnataka,Hassan,Arasikere,Maize,2100
2024-09-24,Karnataka,Hassan,Arasikere,Maize,2100
2024-09-25,Karnataka,Hassan,Arasikere,Maize,2100
2024-09-27,Karnataka,Hassan,Arasikere,Maize,2200
2024-09-30,Karnataka,Hassan,Arasikere,Maize,2100
2025-02-15,Karnataka,Hassan,Arasikere,Maize,2100
2025-02-18,Karnataka,Hassan,Arasikere,Maize,2450
2025-02-19,Karnataka,Hassan,Arasikere,Maize,2200
2025-02-21,Karnataka,Hassan,Arasikere,Maize,2500
2025-03-03,Karnataka,Hassan,Arasikere,Maize,2500
2023-06-04,Karnataka,Belgaum,Athani,Maize,2000
2024-06-26,Karnataka,Belgaum,Athani,Maize,2300
2025-09-19,Karnataka,Belgaum,Athani,Maize,1780
2025-09-22,Karnataka,Belgaum,Athani,Maize,2100
2025-09-29,Karnataka,Belgaum,Athani,Maize,2100
2023-06-14,Karnataka,Bagalkot,Badami,Maize,2000
2023-07-04,Karnataka,Bagalkot,Badami,Maize,2025
2023-07-06,Karnataka,Bagalkot,Badami,Maize,2000
2023-07-21,Karnataka,Bagalkot,Badami,Maize,2100
2023-07-27,Karnataka,Bagalkot,Badami,Maize,2000
2023-07-28,Karnataka,Bagalkot,Badami,Maize,2400
2023-09-29,Karnataka,Bagalkot,Badami,Maize,2350
2023-05-25,Karnataka,Bagalkot,Bagalakot,Maize,2023
2023-05-26,Karnataka,Bagalkot,Bagalakot,Maize,2022
2023-05-29,Karnataka,Bagalkot,Bagalakot,Maize,1870
2023-05-30,Karnataka,Bagalkot,Bagalakot,Maize,1994
2023-05-31,Karnataka,Bagalkot,Bagalakot,Maize,1967
2023-06-01,Karnataka,Bagalkot,Bagalakot,Maize,1947
2023-06-02,Karnataka,Bagalkot,Bagalakot,Maize,1946
2023-06-03,Karnataka,Bagalkot,Bagalakot,Maize,1965
2023-06-06,Karnataka,Bagalkot,Bagalakot,Maize,1915
2023-06-07,Karnataka,Bagalkot,Bagalakot,Maize,1893
2023-06-08,Karnataka,Bagalkot,Bagalakot,Maize,1897
2023-06-09,Karnataka,Bagalkot,Bagalakot,Maize,1895
2023-06-10,Karnataka,Bagalkot,Bagalakot,Maize,1860
2023-06-12,Karnataka,Bagalkot,Bagalakot,Maize,1901
2023-06-13,Karnataka,Bagalkot,Bagalakot,Maize,1952
2023-06-14,Karnataka,Bagalkot,Bagalakot,Maize,1986
2023-06-15,Karnataka,Bagalkot,Bagalakot,Maize,1966
2023-06-16,Karnataka,Bagalkot,Bagalakot,Maize,2000
2023-06-17,Karnataka,Bagalkot,Bagalakot,Maize,2041
2023-06-19,Karnataka,Bagalkot,Bagalakot,Maize,2081
2023-06-20,Karnataka,Bagalkot,Bagalakot,Maize,2092
2023-06-21,Karnataka,Bagalkot,Bagalakot,Maize,2096
2023-06-23,Karnataka,Bagalkot,Bagalakot,Maize,2077
2023-06-26,Karnataka,Bagalkot,Bagalakot,Maize,2018
2023-06-27,Karnataka,Bagalkot,Bagalakot,Maize,2046
2023-06-28,Karnataka,Bagalkot,Bagalakot,Maize,2031
2023-06-30,Karnataka,Bagalkot,Bagalakot,Maize,2050
2023-07-01,Karnataka,Bagalkot,Bagalakot,Maize,2078
2023-07-03,Karnataka,Bagalkot,Bagalakot,Maize,2135
2023-07-04,Karnataka,Bagalkot,Bagalakot,Maize,2187
2023-07-05,Karnataka,Bagalkot,Bagalakot,Maize,2188
2023-07-06,Karnataka,Bagalkot,Bagalakot,Maize,2184
2023-07-07,Karnataka,Bagalkot,Bagalakot,Maize,2115
2023-07-08,Karnataka,Bagalkot,Bagalakot,Maize,2183
2023-07-10,Karnataka,Bagalkot,Bagalakot,Maize,2218
2023-07-11,Karnataka,Bagalkot,Bagalakot,Maize,2218
2023-07-12,Karnataka,Bagalkot,Bagalakot,Maize,2190
2023-07-13,Karnataka,Bagalkot,Bagalakot,Maize,2185
2023-07-14,Karnataka,Bagalkot,Bagalakot,Maize,2223
2023-07-15,Karnataka,Bagalkot,Bagalakot,Maize,2228
2023-07-18,Karnataka,Bagalkot,Bagalakot,Maize,2254
2023-07-19,Karnataka,Bagalkot,Bagalakot,Maize,2250
2023-07-20,Karnataka,Bagalkot,Bagalakot,Maize,2240
2023-07-21,Karnataka,Bagalkot,Bagalakot,Maize,2269
2023-07-24,Karnataka,Bagalkot,Bagalakot,Maize,2231
2023-07-26,Karnataka,Bagalkot,Bagalakot,Maize,2260
2023-07-28,Karnataka,Bagalkot,Bagalakot,Maize,2289
2023-07-31,Karnataka,Bagalkot,Bagalakot,Maize,2259
2023-08-01,Karnataka,Bagalkot,Bagalakot,Maize,2279
2023-08-02,Karnataka,Bagalkot,Bagalakot,Maize,2233
2023-08-04,Karnataka,Bagalkot,Bagalakot,Maize,2300
2023-08-07,Karnataka,Bagalkot,Bagalakot,Maize,2039
2023-08-11,Karnataka,Bagalkot,Bagalakot,Maize,2130
2023-08-12,Karnataka,Bagalkot,Bagalakot,Maize,2237
2023-08-21,Karnataka,Bagalkot,Bagalakot,Maize,2134
2023-08-22,Karnataka,Bagalkot,Bagalakot,Maize,2160
2023-08-23,Karnataka,Bagalkot,Bagalakot,Maize,2105
2023-08-28,Karnataka,Bagalkot,Bagalakot,Maize,2186
2023-08-30,Karnataka,Bagalkot,Bagalakot,Maize,2175
2023-09-20,Karnataka,Bagalkot,Bagalakot,Maize,2145
2023-09-21,Karnataka,Bagalkot,Bagalakot,Maize,2170
2023-09-25,Karnataka,Bagalkot,Bagalakot,Maize,2165
2023-09-29,Karnataka,Bagalkot,Bagalakot,Maize,2057
2024-05-24,Karnataka,Bagalkot,Bagalakot,Maize,2361
2024-05-27,Karnataka,Bagalkot,Bagalakot,Maize,2341
2024-05-29,Karnataka,Bagalkot,Bagalakot,Maize,2340
2024-05-30,Karnataka,Bagalkot,Bagalakot,Maize,2400
2024-05-31,Karnataka,Bagalkot,Bagalakot,Maize,2395
