Category,ID,Latitude,Longitude,Date,ECOSTRESS_Tile,ECO_L2T_LSTE_002_LST,ECO_L2T_LSTE_002_QC,ECO_L2T_LSTE_002_cloud,ECO_L2T_LSTE_002_QC_bitmask,ECO_L2T_LSTE_002_QC_Mandatory_QA_flags,ECO_L2T_LSTE_002_QC_Mandatory_QA_flags_Description,ECO_L2T_LSTE_002_QC_Data_quality_flag,ECO_L2T_LSTE_002_QC_Data_quality_flag_Description,ECO_L2T_LSTE_002_QC_Cloud/Ocean_Flag,ECO_L2T_LSTE_002_QC_Cloud/Ocean_Flag_Description,ECO_L2T_LSTE_002_QC_Iterations,ECO_L2T_LSTE_002_QC_Iterations_Description,ECO_L2T_LSTE_002_QC_Atmospheric_Opacity,ECO_L2T_LSTE_002_QC_Atmospheric_Opacity_Description,ECO_L2T_LSTE_002_QC_MMD,ECO_L2T_LSTE_002_QC_MMD_Description,ECO_L2T_LSTE_002_QC_Emissivity_accuracy,ECO_L2T_LSTE_002_QC_Emissivity_accuracy_Description,ECO_L2T_LSTE_002_QC_LST_accuracy,ECO_L2T_LSTE_002_QC_LST_accuracy_Description,ECO_L2T_LSTE_002_cloud_bitmask,ECO_L2T_LSTE_002_cloud_Cloud_Mask,ECO_L2T_LSTE_002_cloud_Cloud_Mask_Description
Dharwad,2,15.4589,74.9947,2023-04-05 05:00:42 UTC,43PDT,309.9200134,20160.0,0.0,0b0100111011000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-04-09 03:25:47 UTC,43PDT,300.3399963,20160.0,0.0,0b0100111011000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-04-12 12:30:59 UTC,43PDT,306.2000122,36544.0,0.0,0b1000111011000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-04-13 01:50:06 UTC,43PDT,291.1400146,36544.0,0.0,0b1000111011000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-04-20 22:37:04 UTC,43PDT,296.6000061,18880.0,0.0,0b0100100111000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-04-24 07:40:52 UTC,43PDT,311.2399902,19136.0,0.0,0b0100101011000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-05-01 18:33:27 UTC,43PDT,289.2000122,16832.0,0.0,0b0100000111000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b00,>0.15 (Most silicate rocks),0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-05-09 02:00:55 UTC,43PDT,298.1000061,2496.0,0.0,0b0000100111000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b00,>2 K (Poor performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-05-16 22:46:34 UTC,43PDT,295.7200012,36544.0,0.0,0b1000111011000000,0b00,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b00000000,0b0,Clear
Dharwad,2,15.4589,74.9947,2023-05-17 12:04:46 UTC,43PDT,308.0599976,36549.0,0.0,0b1000111011000101,0b01,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),0b01,Missing stripe pixel in bands 1 and 5,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b00000000,0b0,Clear
